Tempo	Acel X	Acel Y	Acel Z
2024-02-18 04:04:35.22411	-3.554208984	-0.526904297	9.177714844
2024-02-18 04:04:35.27169	-3.467988281	-0.526904297	9.129814453
2024-02-18 04:04:35.34203	-3.467988281	-0.488583984	9.120234375
2024-02-18 04:04:35.38963	-3.582949219	-0.498164063	9.139394531
2024-02-18 04:04:35.51630	-3.467988281	-0.517324219	9.148974609
2024-02-18 04:04:35.56162	-3.467988281	-0.498164063	9.187294922
2024-02-18 04:04:35.61802	-3.582949219	-0.498164063	9.263935547
2024-02-18 04:04:35.66519	-3.573369141	-0.517324219	9.139394531
2024-02-18 04:04:35.77004	-3.582949219	-0.507744141	9.129814453
2024-02-18 04:04:35.81761	-3.467988281	-0.507744141	9.35015625
2024-02-18 04:04:35.86234	-3.458408203	-0.488583984	9.177714844
2024-02-18 04:04:35.90775	-3.477568359	-0.517324219	9.139394531
2024-02-18 04:04:35.100197	-3.592529297	-0.507744141	9.139394531
2024-02-18 04:04:35.104044	-3.582949219	-0.3065625	9.177714844
2024-02-18 04:04:35.107822	-3.458408203	-0.507744141	9.235195313
2024-02-18 04:04:35.111583	-3.573369141	-0.526904297	9.148974609
2024-02-18 04:04:35.115234	-3.573369141	-0.498164063	9.168134766
2024-02-18 04:04:35.119825	-3.582949219	-0.536484375	9.263935547
2024-02-18 04:04:35.123661	-3.592529297	-0.526904297	9.158554688
2024-02-18 04:04:35.127366	-3.582949219	-0.507744141	9.139394531
2024-02-18 04:04:35.130965	-3.592529297	-0.479003906	9.158554688
2024-02-18 04:04:35.135453	-3.573369141	-0.507744141	9.148974609
2024-02-18 04:04:35.139210	-3.343447266	-0.507744141	9.168134766
2024-02-18 04:04:35.142906	-3.573369141	-0.498164063	9.158554688
2024-02-18 04:04:35.146520	-3.458408203	-0.498164063	9.148974609
2024-02-18 04:04:35.150263	-3.602109375	-0.469423828	9.120234375
2024-02-18 04:04:35.154083	-3.602109375	-0.498164063	9.177714844
2024-02-18 04:04:35.158681	-3.602109375	-0.526904297	9.158554688
2024-02-18 04:04:35.162484	-3.573369141	-0.498164063	9.168134766
2024-02-18 04:04:35.166276	-3.467988281	-0.517324219	9.177714844
2024-02-18 04:04:35.170060	-3.554208984	-0.498164063	9.129814453
2024-02-18 04:04:35.173767	-3.573369141	-0.479003906	9.359736328
2024-02-18 04:04:35.177571	-3.573369141	-0.469423828	9.158554688
2024-02-18 04:04:35.182785	-3.563789063	-0.479003906	9.168134766
2024-02-18 04:04:35.186700	-3.477568359	-0.507744141	9.129814453
2024-02-18 04:04:35.190397	-3.602109375	-0.479003906	9.168134766
2024-02-18 04:04:35.194047	-3.592529297	-0.517324219	9.254355469
2024-02-18 04:04:35.197881	-3.563789063	-0.536484375	9.139394531
2024-02-18 04:04:35.201658	-3.573369141	-0.402363281	9.177714844
2024-02-18 04:04:35.206553	-3.592529297	-0.517324219	9.158554688
2024-02-18 04:04:35.210265	-3.573369141	-0.536484375	9.148974609
2024-02-18 04:04:35.215372	-3.563789063	-0.498164063	9.139394531
2024-02-18 04:04:35.218973	-3.573369141	-0.507744141	9.177714844
2024-02-18 04:04:35.222787	-3.477568359	-0.507744141	9.158554688
2024-02-18 04:04:35.226591	-3.563789063	-0.498164063	9.148974609
2024-02-18 04:04:35.231228	-3.353027344	-0.498164063	9.148974609
2024-02-18 04:04:35.234972	-3.602109375	-0.469423828	9.168134766
2024-02-18 04:04:35.238581	-3.592529297	-0.507744141	9.148974609
2024-02-18 04:04:35.242401	-3.582949219	-0.526904297	9.177714844
2024-02-18 04:04:35.246187	-3.602109375	-0.479003906	9.120234375
2024-02-18 04:04:35.249946	-3.602109375	-0.536484375	9.244775391
